epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3494,5.56377,4.58501,2.44229,0.00028,0.00275,0.00014,5e-05,5.09045,4.43849,1.95191,0.0001,0.0001,0.0001
2,50.6317,4.21137,3.61398,1.26087,0.00056,0.00551,0.00028,5e-05,4.12121,4.02303,1.0839,0.000218548,0.000218548,0.000218548
3,76.0339,3.54301,2.58653,1.03048,0.00847,0.08402,0.00525,0.00133,2.90201,3.60037,0.92962,0.000335512,0.000335512,0.000335512
4,101.513,3.21975,2.16956,0.9838,0.01792,0.17769,0.01146,0.00278,2.81588,3.3549,0.9333,0.000450892,0.000450892,0.000450892
5,127.409,3.07833,2.05744,0.94128,0.05903,0.5854,0.05342,0.01742,2.78783,3.12928,0.91085,0.000564688,0.000564688,0.000564688
6,153.32,2.86286,1.9932,0.9328,0.07042,0.69835,0.06668,0.01738,3.05374,2.926,0.99805,0.0006769,0.0006769,0.0006769
7,179.362,2.95489,1.83529,0.93627,0.07042,0.69835,0.08274,0.0213,3.11363,2.83611,1.02479,0.000787528,0.000787528,0.000787528
8,205.021,2.74891,1.79789,0.90507,0.07056,0.69972,0.1167,0.03121,2.92179,2.77813,0.98397,0.000896572,0.000896572,0.000896572
9,231.265,2.7834,1.68079,0.90166,0.06542,0.64876,0.14614,0.02952,3.50352,2.56342,1.15112,0.00100403,0.00100403,0.00100403
10,256.481,2.63082,1.65216,0.90064,0.06028,0.5978,0.15921,0.02564,3.67221,2.34754,1.17349,0.00110991,0.00110991,0.00110991
11,282.05,2.55972,1.62786,0.89583,0.33413,0.19076,0.17894,0.02908,3.68551,2.21046,1.14646,0.0012142,0.0012142,0.0012142
12,307.743,2.65495,1.57548,0.88334,0.39625,0.31267,0.27567,0.07852,2.68757,2.04152,0.90017,0.00131691,0.00131691,0.00131691
13,333.287,2.77954,1.63939,0.89801,0.37203,0.35813,0.27773,0.06964,2.87367,1.93463,0.93525,0.00141803,0.00141803,0.00141803
14,358.897,2.54306,1.52563,0.88344,0.26564,0.35399,0.19336,0.03285,3.6799,1.95698,1.10679,0.00151757,0.00151757,0.00151757
15,384.549,2.59959,1.57042,0.89966,0.23727,0.36226,0.15834,0.02431,3.82855,1.94201,1.13843,0.00161553,0.00161553,0.00161553
16,410.266,2.48563,1.55428,0.89135,0.37353,0.45581,0.31617,0.06412,3.24893,1.74702,0.98485,0.0017119,0.0017119,0.0017119
17,435.867,2.607,1.61353,0.88999,0.30623,0.44077,0.2192,0.04606,3.28658,1.83937,0.99467,0.0017888,0.0017888,0.0017888
18,461.299,2.54828,1.57361,0.88807,0.16992,0.3719,0.11336,0.01583,3.90607,1.87128,1.16221,0.0017756,0.0017756,0.0017756
19,486.604,2.58609,1.5559,0.8935,0.16282,0.39085,0.10754,0.01501,3.9053,2.13403,1.16042,0.0017624,0.0017624,0.0017624
20,512.267,2.6371,1.60776,0.88977,0.41453,0.50275,0.3861,0.10179,2.75007,1.59474,0.90404,0.0017492,0.0017492,0.0017492
21,538.09,2.52404,1.54513,0.88343,0.45582,0.55785,0.43295,0.13643,2.46577,1.45091,0.86107,0.001736,0.001736,0.001736
22,563.794,2.58049,1.5177,0.88088,0.51286,0.54683,0.46245,0.12399,2.74481,1.4963,0.90239,0.0017228,0.0017228,0.0017228
23,589.26,2.44984,1.48952,0.87842,0.38701,0.46785,0.30926,0.05527,3.40117,1.73201,1.01005,0.0017096,0.0017096,0.0017096
24,615.099,2.49979,1.45011,0.87401,0.46673,0.52683,0.43661,0.09778,2.99516,1.92088,0.94408,0.0016964,0.0016964,0.0016964
25,640.636,2.51389,1.5985,0.88879,0.47232,0.52479,0.4376,0.10215,2.9538,1.89671,0.93695,0.0016832,0.0016832,0.0016832
26,666.279,2.5528,1.488,0.88674,0.45596,0.57144,0.4362,0.09988,2.91262,1.59923,0.93505,0.00167,0.00167,0.00167
27,691.88,2.56811,1.48568,0.87755,0.45381,0.57713,0.43876,0.11199,2.73389,1.50761,0.90584,0.0016568,0.0016568,0.0016568
28,717.428,2.43943,1.47204,0.87307,0.51652,0.56061,0.50768,0.14916,2.63421,1.40849,0.89317,0.0016436,0.0016436,0.0016436
29,742.914,2.43955,1.44046,0.87218,0.51698,0.60055,0.50166,0.14644,2.70655,1.54672,0.90194,0.0016304,0.0016304,0.0016304
30,768.545,2.40338,1.43272,0.87872,0.49404,0.59178,0.52333,0.1507,2.66846,1.42442,0.89948,0.0016172,0.0016172,0.0016172
31,794.685,2.39195,1.43369,0.87616,0.5204,0.57991,0.52372,0.15266,2.65882,1.39378,0.89943,0.001604,0.001604,0.001604
32,820.607,2.36187,1.45773,0.86937,0.49902,0.61019,0.51833,0.17317,2.30693,1.35762,0.84792,0.0015908,0.0015908,0.0015908
33,845.964,2.32197,1.42162,0.86762,0.50175,0.58127,0.50606,0.16782,2.34897,1.357,0.85496,0.0015776,0.0015776,0.0015776
34,871.339,2.45666,1.38798,0.87302,0.54185,0.59917,0.5308,0.18598,2.25569,1.34041,0.84689,0.0015644,0.0015644,0.0015644
35,897.063,2.37707,1.40522,0.87353,0.53094,0.53444,0.49103,0.15836,2.43851,1.34933,0.85488,0.0015512,0.0015512,0.0015512
36,922.538,2.50499,1.39464,0.86974,0.59308,0.60744,0.57841,0.19585,2.32034,1.32903,0.86214,0.001538,0.001538,0.001538
37,947.902,2.31424,1.39639,0.87795,0.59598,0.61708,0.59062,0.18913,2.44523,1.3391,0.87045,0.0015248,0.0015248,0.0015248
38,973.798,2.32604,1.35881,0.86644,0.54921,0.59911,0.55109,0.18922,2.27214,1.30783,0.84293,0.0015116,0.0015116,0.0015116
39,999.182,2.32993,1.36365,0.86406,0.57778,0.59642,0.56995,0.2053,2.23795,1.30306,0.84562,0.0014984,0.0014984,0.0014984
40,1024.67,2.29889,1.34676,0.87008,0.56442,0.64076,0.57319,0.18812,2.3685,1.32306,0.86038,0.0014852,0.0014852,0.0014852
41,1051.1,2.31858,1.36765,0.86811,0.57864,0.61433,0.54801,0.15446,2.65459,1.37381,0.89272,0.001472,0.001472,0.001472
42,1076.62,2.31704,1.33087,0.8676,0.57928,0.62121,0.56917,0.19482,2.22749,1.29807,0.844,0.0014588,0.0014588,0.0014588
43,1102.24,2.34336,1.32672,0.85863,0.56444,0.58953,0.54883,0.18812,2.23581,1.29908,0.8415,0.0014456,0.0014456,0.0014456
44,1127.8,2.32704,1.3376,0.86601,0.58935,0.61478,0.58204,0.18534,2.44961,1.32054,0.87233,0.0014324,0.0014324,0.0014324
45,1153.47,2.4692,1.32237,0.87812,0.58541,0.61846,0.57467,0.16677,2.65922,1.33837,0.89407,0.0014192,0.0014192,0.0014192
46,1179.04,2.35631,1.31852,0.87111,0.559,0.60759,0.55178,0.19082,2.26679,1.29076,0.84376,0.001406,0.001406,0.001406
47,1204.62,2.37176,1.33445,0.86385,0.52517,0.5427,0.50089,0.15899,2.46342,1.32528,0.85307,0.0013928,0.0013928,0.0013928
48,1229.85,2.34005,1.34594,0.86031,0.54817,0.60882,0.56701,0.19303,2.27624,1.29551,0.84395,0.0013796,0.0013796,0.0013796
49,1255.66,2.39837,1.35216,0.87141,0.55129,0.60744,0.52832,0.16739,2.4837,1.33075,0.87015,0.0013664,0.0013664,0.0013664
50,1281.36,2.5771,1.36638,0.87921,0.51985,0.60055,0.50699,0.15757,2.50374,1.35186,0.87492,0.0013532,0.0013532,0.0013532
51,1306.7,2.27604,1.35304,0.86684,0.57423,0.60331,0.5588,0.19086,2.25043,1.30458,0.8466,0.00134,0.00134,0.00134
52,1332.1,2.3483,1.27514,0.85399,0.53148,0.58402,0.52517,0.17619,2.31266,1.30288,0.84338,0.0013268,0.0013268,0.0013268
53,1357.77,2.40726,1.31931,0.86735,0.55086,0.58264,0.54215,0.18326,2.27249,1.2991,0.84206,0.0013136,0.0013136,0.0013136
54,1383.1,2.36188,1.36844,0.8715,0.56131,0.61846,0.57372,0.17337,2.61613,1.32812,0.88526,0.0013004,0.0013004,0.0013004
55,1408.64,2.26678,1.32008,0.87428,0.54636,0.59224,0.52938,0.1485,2.72731,1.35011,0.89878,0.0012872,0.0012872,0.0012872
56,1434.73,2.48223,1.33504,0.883,0.49617,0.57438,0.48734,0.16466,2.26782,1.33631,0.84818,0.001274,0.001274,0.001274
57,1460.25,2.33232,1.3385,0.85968,0.49424,0.60193,0.48954,0.16687,2.36262,1.30337,0.84765,0.0012608,0.0012608,0.0012608
58,1485.58,2.29536,1.33914,0.85986,0.53602,0.58953,0.53207,0.17638,2.33593,1.28194,0.8446,0.0012476,0.0012476,0.0012476
59,1511.11,2.29898,1.34276,0.87007,0.56839,0.57438,0.55186,0.19041,2.23997,1.29081,0.84013,0.0012344,0.0012344,0.0012344
60,1536.78,2.37695,1.31546,0.86573,0.54925,0.57234,0.54636,0.19587,2.24316,1.29321,0.84347,0.0012212,0.0012212,0.0012212
61,1562.67,2.43569,1.29344,0.86085,0.54902,0.5936,0.55017,0.19539,2.23031,1.27689,0.84076,0.001208,0.001208,0.001208
62,1587.92,2.24679,1.32476,0.86356,0.50735,0.56198,0.50431,0.17164,2.3327,1.29094,0.84482,0.0011948,0.0011948,0.0011948
63,1613.7,2.23364,1.29737,0.85845,0.54168,0.61295,0.56594,0.19297,2.22852,1.27152,0.84149,0.0011816,0.0011816,0.0011816
64,1639.38,2.27817,1.27655,0.85175,0.55202,0.61295,0.57243,0.19843,2.20771,1.24318,0.83825,0.0011684,0.0011684,0.0011684
65,1664.71,2.23355,1.26657,0.85198,0.5272,0.59504,0.52887,0.18009,2.24864,1.26304,0.8405,0.0011552,0.0011552,0.0011552
66,1690.11,2.2295,1.31115,0.86644,0.57637,0.59229,0.56311,0.19782,2.20553,1.26412,0.84015,0.001142,0.001142,0.001142
67,1715.51,2.27104,1.28241,0.86436,0.5674,0.62329,0.57377,0.19855,2.19115,1.25905,0.84287,0.0011288,0.0011288,0.0011288
68,1741.07,2.22023,1.28455,0.86081,0.56944,0.60299,0.57563,0.20635,2.15045,1.25087,0.8415,0.0011156,0.0011156,0.0011156
69,1766.53,2.22641,1.27053,0.85761,0.58659,0.62121,0.60562,0.20238,2.21048,1.26469,0.84721,0.0011024,0.0011024,0.0011024
70,1791.91,2.20294,1.27711,0.86079,0.58085,0.60606,0.58568,0.21197,2.13407,1.23585,0.83796,0.0010892,0.0010892,0.0010892
71,1817.4,2.21878,1.25458,0.85376,0.59444,0.58678,0.57158,0.19813,2.18705,1.25131,0.83933,0.001076,0.001076,0.001076
72,1843.24,2.23991,1.27931,0.84923,0.63102,0.61295,0.59448,0.20046,2.33119,1.26444,0.85758,0.0010628,0.0010628,0.0010628
